<qed>0.4068|CCO
<qed>0.5075|O=Cc1cscn1
<qed>0.4119|N#CN1CCCC1
<qed>0.6005|Cn1cnc(CCN)c1
<qed>0.5821|CCCCC(O)=O
<qed>0.4602|N=C1CCCCN1
<qed>0.3772|CCN(CC)C#N
<qed>0.4924|CCC(CC)C=O
<qed>0.4526|O=CC1CCCC1
<qed>0.5316|COc1ccccc1
<qed>0.5313|CCc1ccccn1
<qed>0.4266|O=C1CCCNN1
<qed>0.3762|ON1CNCC1=O
<qed>0.3798|NOCC(O)CON
<qed>0.5493|NCCCC(N)CF
<qed>0.4001|NCCCCNCC#C
<qed>0.4007|CC(N)P(O)O
<qed>0.5117|CC(C)CNC=O
<qed>0.5581|Cn1ccnc1Br
<qed>0.4984|NC1=NCCCS1
<qed>0.5353|ONc1ccccc1
<qed>0.5608|Brc1ccncc1
<qed>0.5037|O=Cc1cccs1
<qed>0.5246|Brc1ccccn1
<qed>0.3894|BrC1NCC=N1
<qed>0.3374|NP(N)(O)=O
<qed>0.3583|CC(C)(C)OO
<qed>0.4486|CC(C)(C)Br
<qed>0.3653|COC(OC)C#C
<qed>0.3716|OCCN(CCO)N=O
<qed>0.4013|CC(C)(C)Cl
<qed>0.4556|O=NN1CCCC1
<qed>0.436|O=NN1CCOC1
<qed>0.4987|CC(Cl)CCCl
<qed>0.4672|CC1CCN=C1N
<qed>0.5575|CCCCC(N)CS
<qed>0.3321|C=CCSSCC=C
<qed>0.5148|CCc1ccccc1
<qed>0.5426|CNCC(C)CNC
<qed>0.4787|O=Cc1cocn1
<qed>0.5071|CC(C)C(C)O
<qed>0.5072|CN(C)CCCCl
<qed>0.3881|BrC(=C)C=O
<qed>0.3409|NCCSC(N)=N
<qed>0.5565|CCCCCC(C)O
<qed>0.5949|CCCCC(O)CC
<qed>0.4514|C1CCCCCCC1
<qed>0.3438|CC(C)=CC=O
<qed>0.4153|NNc1ccccc1
<qed>0.4685|CC(C)(C)CO
<qed>0.4861|NC1CCCCC1
<qed>0.4003|CCCCCCCCl
<qed>0.547|OC(CCl)CCl
<qed>0.4199|CCCSC(N)=N
<qed>0.5113|CCCCC(C)C
<qed>0.4751|OC1CCCCCC1
<qed>0.1681|CCNC(N)=NN
<qed>0.4781|OCCC(O)=O
<qed>0.4673|Clc1ccccn1
<qed>0.6128|CSSc1cccs1
<qed>0.4294|CC(C)(C)NO
<qed>0.5786|OCCn1ccnc1
<qed>0.4298|ClC(=C)C=C
<qed>0.4412|O=C1NCCO1
<qed>0.3106|CCCCN=C=S
<qed>0.6354|NCCc1cccs1
<qed>0.5402|CN(C)CCCO
<qed>0.4918|CC(=O)CBr
<qed>0.4509|OC(=O)C=C
<qed>0.3973|OC(=O)C#C
<qed>0.5573|CSCC(N)CS
<qed>0.5471|CCCCCCCCN
<qed>0.4434|Fc1ccccn1
<qed>0.3293|OC(=O)C=O
<qed>0.4758|FC1CCCNC1
<qed>0.474|Fc1cccnc1
<qed>0.4953|Nc1cnccn1
<qed>0.4242|COC(=O)CN
<qed>0.2717|CNC(=N)NC
<qed>0.5316|CSCCNCCCN
<qed>0.5316|CCSCCNCCN
<qed>0.4458|NCCC(N)=O
<qed>0.419|O=C1CCCCO1
<qed>0.1686|NC(=N)NN=O
<qed>0.538|CCCCCCCCCCO
<qed>0.5071|OCCCCCCBr
<qed>0.5158|CCCC(N)=O
<qed>0.5208|CCOCCOCCO
<qed>0.4354|OCC(=O)CO
<qed>0.2622|[C-]#[O+]
<qed>0.5111|CCCCCCC#N
<qed>0.3817|O=CCCCC=O
<qed>0.5232|CCOP(O)=O
<qed>0.4378|CC(=O)CCl
<qed>0.5388|CN(C)CCCN
<qed>0.4133|CNC(=O)NC
<qed>0.4888|COCCOCCOC
<qed>0.4198|OCCC(O)CO
<qed>0.3785|COC(=O)CS
<qed>0.4829|CC(=O)NBr
<qed>0.4547|NCCS(O)=O
<qed>0.4801|C1CCCNCC1
<qed>0.3784|CCCCCCC=C
<qed>0.3888|CC(=C)C#N
<qed>0.3216|N#CSCSC#N
<qed>0.571|CCCC(C)CO
<qed>0.4105|CC(=C)C=C
<qed>0.4161|CC(=O)C=C
<qed>0.4274|ClCCOCCCl
<qed>0.3831|ONCC(O)=O
<qed>0.5068|COCC(O)=O
<qed>0.2283|OCCNCNC=O
<qed>0.4471|CONC(C)=O
<qed>0.4681|O=S1CSCS1
<qed>0.3679|OCC#CCNCl
<qed>0.5209|N=C1SCCS1
<qed>0.4734|ICC1CCCO1
<qed>0.2703|NC(=N)CCl
<qed>0.4691|S=C1NCCS1
<qed>0.4137|CCOC(S)=S
<qed>0.571|CC(C)CCCO
<qed>0.4514|OCCCCCCCl
<qed>0.4203|CN(C)CC#N
<qed>0.5184|CCCCN(C)C
<qed>0.5055|COCCN(C)C
<qed>0.4239|CN1CCOCC1
<qed>0.4523|O=COC1CC1
<qed>0.5053|OCC1CCOC1
<qed>0.457|CCC(Cl)Cl
<qed>0.5106|OCC1CCCO1
<qed>0.5196|CCc1ccco1
<qed>0.4958|CCC(O)C=C
<qed>0.4618|CCC(C)C=O
<qed>0.4524|CCCSSSCCC
<qed>0.1664|NNC(=S)NN
<qed>0.4301|CC(C)(C)S
<qed>0.209|CNC(=S)NN
<qed>0.4379|CCC(=O)OC
<qed>0.2327|COC(=O)NN
<qed>0.571|CCC(CC)CO
<qed>0.514|BrCCCCCBr
<qed>0.4187|COC(Cl)=O
<qed>0.2911|CCC(C)=NO
<qed>0.4708|CC(C)=CCO
<qed>0.4272|OCCCCOC=C
<qed>0.3908|ClCC=CCCl
<qed>0.4313|CCCCCCCCS
<qed>0.4898|COP(=O)OC
<qed>0.4037|COC(=O)OC
<qed>0.4297|C1COC=CC1
<qed>0.4611|CC(C)OC=O
<qed>0.3953|O=C1OCCO1
<qed>0.5419|CCCCNCCCC
<qed>0.528|COP(OC)OC
<qed>0.4716|CC(C)CC#N
<qed>0.5614|COC(C)CCO
<qed>0.5614|CCOCC(C)O
<qed>0.4743|OCC(O)CCl
<qed>0.3338|CCCSSCC=C
<qed>0.4812|COC(OC)OC
<qed>0.4842|COCC(O)CO
<qed>0.313|CCCCCON=O
<qed>0.461|SC1CCCCC1
<qed>0.4017|C1C=CC=C1
<qed>0.4065|C=CCNCC=C
<qed>0.5287|CCC(CO)CO
<qed>0.3755|N#CCNCC#N
<qed>0.5614|CC(C)OCCO
<qed>0.4129|CNC(=S)NC
<qed>0.5804|CSCCCCCCN
<qed>0.499|OCC(=O)CF
<qed>0.5388|OCC(O)CBr
<qed>0.4634|Ic1ccccn1
<qed>0.4838|OCC(CS)CS
<qed>0.4958|CC(=C)CCO
<qed>0.5483|SCc1ccco1
<qed>0.4237|O=S1OCCO1
<qed>0.5609|NCc1ccco1
<qed>0.518|CCCCSCCCC
<qed>0.4719|CN(C)CCCl
<qed>0.4212|CCCCNCC=C
<qed>0.4732|CN1CCCNC1=O
<qed>0.6008|NCc1ccccc1F
<qed>0.6128|COc1ccccc1O
<qed>0.3378|ON=Cc1cnsn1
<qed>0.3378|ON=Cc1cnns1
<qed>0.4644|NCC=CC(O)=O
<qed>0.4644|NCC=CC(O)=O
<qed>0.4744|CCC1CCOC1=O
<qed>0.5369|CCC1CCSC1=O
<qed>0.5278|CCC1CCNC1=O
<qed>0.5528|CSc1nccnc1C
<qed>0.3784|CN1CC=NC1Br
<qed>0.2876|CC(=C)C=NO
<qed>0.3991|Nc1ccccc1S
<qed>0.5407|Cc1ncccc1O
<qed>0.2627|CCCCCCC=NO
<qed>0.5015|CN1CCSC1=N
<qed>0.5031|Nc1ccccc1F
<qed>0.5392|Oc1ccccc1F
<qed>0.6626|Oc1ccccc1I
<qed>0.4907|Oc1ccccc1O
<qed>0.474|CC1CCSC1=O
<qed>0.5375|Cc1cccnc1N
<qed>0.4003|CN1CC=NC1F
<qed>0.4495|CC(Cl)=CCl
<qed>0.4796|Cc1ccccc1F
<qed>0.5014|Nc1ccncc1N
<qed>0.4529|CN1CCSC1=S
<qed>0.3083|CCCCC=CC=O
<qed>0.4883|BrCC=CCBr
<qed>0.3979|N#CC=CC#N
<qed>0.5065|COCC=CCOC
